material,ge
step,ge
answer,ge
code,ge
working,ge
open,ge
file,ge
practice,ge
progress,ge
lesson,ge
voice,ge
video,ge
tutorial,ge
question,ge
language,ge
answer,ge
solution,ge
Hi,gr
Hello,gr
How are you,gr
Good Evening,gr
Good Afternoon,gr
Good Night,gr
Thanks,gr
Thank you,gr
Thanks,gr
My name is,gr
Help me,gr
Hello,gr
Hi,gr
Greetings,gr
Hi,gr
How are you doing?,gr
How do you do?,gr
Hi,gr
Top of the morning to you!,gr
What's up?,gr
how do you do?,gr
nice to meet you,gr
pleased to meet youhow have you bean?,gr
Good morning,gr
Good Afternoon,gr
Good Evening,gr
Hi,gr
Hello,gr
Hey,gr
Morning,gr
Afternoon,gr
Evening,gr
How are you doing?,gr
How's it going?,gr
Nice to see you,gr
It's great to see you,gr
Good to see you,gr
What's up?,gr
Heyy,gr
Lovely to meet you,gr
Lovely to see you,gr
ARe you OK?,gr
Alright,gr
Alright? ,gr
Hiya!,gr
Are you ok?,gr
Howdy!,gr
Good Morning,gr 
password,i
email,i
explanation,i
payment,i
pay,i
link,i
learn,i
individual,i
group,i
skill,i
login,i
general,i
check,i
account,i
teacher,i
tutor,i
website,i
enter,i
year,i
why,i
access,i
format,i
guideline,i
working,i
register,i
class,i
package,i
level,i
login,i
forget password,i
fee,i
signup,i
register,i
sign up,i
how to use,i
how,i 
understand,i 
syllabus,m
science,m
subject,m
mathematic,m
BM,m
topic,m
math,m
topic,m
science,m
phrase,phraseType
